Time,Temperature (°C),Soil Nutrients,Soil Humidity
06:00,5.0,0.6,0.4
06:15,6.0,0.8,0.3
06:30,7.0,0.7,0.5
06:45,8.0,0.9,0.6
07:00,9.0,0.5,0.3
07:15,10.0,0.6,0.4
07:30,11.0,0.8,0.7
07:45,12.0,0.7,0.5
08:00,13.0,0.9,0.6
08:15,14.0,0.5,0.3
08:30,15.0,0.6,0.4
08:45,16.0,0.8,0.7
09:00,17.0,0.7,0.5
09:15,16.0,0.9,0.6
09:30,15.0,0.5,0.3
09:45,14.0,0.6,0.4
10:00,13.0,0.8,0.7
10:15,12.0,0.7,0.5
10:30,11.0,0.9,0.6
10:45,10.0,0.5,0.3
11:00,9.0,0.6,0.4
11:15,8.0,0.8,0.7
11:30,7.0,0.7,0.5
11:45,6.0,0.9,0.6
12:00,5.0,0.5,0.3
12:15,6.0,0.6,0.4
12:30,7.0,0.8,0.7
12:45,8.0,0.7,0.5
13:00,9.0,0.9,0.6
13:15,10.0,0.5,0.3
13:30,11.0,0.6,0.4
13:45,12.0,0.8,0.7
14:00,13.0,0.7,0.5
14:15,14.0,0.9,0.6
14:30,15.0,0.5,0.3
14:45,16.0,0.6,0.4
15:00,17.0,0.8,0.7
15:15,16.0,0.7,0.5
15:30,15.0,0.9,0.6
15:45,14.0,0.5,0.3
16:00,13.0,0.6,0.4
16:15,12.0,0.8,0.7
16:30,11.0,0.7,0.5
16:45,10.0,0.9,0.6
17:00,9.0,0.5,0.3
17:15,8.0,0.6,0.4
17:30,7.0,0.8,0.7
17:45,6.0,0.7,0.5
18:00,5.0,0.9,0.6
18:15,6.0,0.5,0.3
18:30,7.0,0.6,0.4
18:45,8.0,0.8,0.7
19:00,9.0,0.7,0.5
19:15,10.0,0.9,0.6
19:30,11.0,0.5,0.3
19:45,12.0,0.6,0.4
20:00,13.0,0.8,0.7
20:15,14.0,0.7,0.5
20:30,15.0,0.9,0.6
20:45,16.0,0.5,0.3
21:00,17.0,0.6,0.4
21:15,16.0,0.8,0.7
21:30,15.0,0.7,0.5
21:45,14.0,0.9,0.6
22:00,13.0,0.5,0.3
